,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Male,Clicked on Ad,Day,Month,IsWeekend,Regions,Topic Group
77,8.273,33,54541.56,95.596,1,0,4,5,0,Asia,4
78,5.614,38,32689.04,45.412,1,1,2,2,0,Europe,3
79,5.513,45,55605.92,44.684,0,1,2,2,0,Europe,1
80,7.811,27,63296.87,83.7,1,0,5,1,1,Europe,5
81,7.345999999999999,28,65653.47,89.1,1,0,6,5,1,North America,3
82,5.664,38,61652.53,46.364,0,1,1,1,0,Others,1
83,6.894,54,30726.26,55.484,0,1,1,4,0,Asia,1
84,7.079000000000001,31,74535.94,73.64,0,0,1,3,0,Oceania,5
85,5.776,41,47861.93,42.06,0,1,6,6,1,North America,1
86,7.751,36,73600.28,80.22,0,0,4,7,0,Africa,2
87,5.2700000000000005,34,58543.94,47.44,1,1,6,5,1,South America,2
88,5.7700000000000005,34,42696.67,43.628,0,1,0,3,0,Oceania,0
89,5.689,37,37334.78,43.716,1,1,2,5,0,Oceania,0
90,6.99,43,71392.53,55.34,0,1,4,5,0,Others,1
91,5.579,24,59550.05,59.868,0,1,5,2,1,North America,2
92,7.003,26,64264.25,91.088,1,0,6,5,1,Oceania,4
93,5.008,40,64147.86,50.34,1,1,6,4,1,Europe,2
94,4.367,31,25686.34,66.51599999999999,1,1,6,2,1,Others,5
95,7.284000000000001,26,52968.22,95.452,0,0,4,7,0,Europe,2
96,4.572,36,22473.08,61.608,1,1,1,4,0,Asia,3
97,3.994,41,64927.19,62.52,0,1,4,1,0,Europe,0
98,3.561,46,51868.85,63.288,0,1,0,3,0,Africa,1
99,7.970999999999999,34,69456.83,84.66,1,0,5,7,1,Asia,2
100,4.149,53,31947.65,67.672,0,1,6,7,1,Africa,5
101,6.36,23,51864.77,94.112,1,0,2,6,0,Europe,1
102,8.991,40,59593.56,77.692,0,0,5,7,1,Asia,5
103,6.8180000000000005,21,48376.14,87.268,1,0,1,2,0,Europe,1
104,6.648999999999999,20,56884.74,80.864,0,0,4,6,0,Others,1
105,8.049,40,67186.54,91.648,1,0,6,2,1,Africa,3
106,7.223000000000001,25,46557.92,96.412,1,0,1,7,0,Asia,1
107,4.239,42,66541.05,60.396,0,1,3,4,0,Oceania,4
108,4.753,30,33258.09,54.072,0,1,6,4,1,Africa,3
109,7.401999999999999,32,72272.9,84.216,0,0,2,3,0,Oceania,0
110,6.662999999999999,60,60333.38,70.792,0,1,5,1,1,Africa,3
111,6.324,53,65229.13,94.312,1,1,6,7,1,Asia,0
112,7.1,22,56067.38,84.748,0,0,0,3,0,Africa,3
113,4.613,46,37838.72,49.456,1,1,5,1,1,South America,4
114,6.9,32,72683.35,88.48400000000001,1,0,3,2,0,North America,3
115,7.699,31,56729.78,97.736,1,0,2,6,0,Others,4
116,7.26,55,66815.54,65.17999999999999,0,1,2,7,0,Asia,0
117,6.188000000000001,42,60223.52,44.876,1,1,5,7,1,Others,0
118,8.445,50,29727.79,82.872,0,1,2,7,0,Africa,0
119,8.897,45,49269.98,60.996,0,1,5,6,1,Asia,5
120,8.619,31,57669.41,84.104,1,0,6,5,1,Europe,3
121,4.958,26,56791.75,92.776,0,0,3,4,0,Africa,3
122,7.765000000000001,27,63274.88,85.116,0,0,3,2,0,Oceania,4
123,3.775,36,35466.8,90.096,0,1,4,2,0,Asia,1
124,6.233,43,68787.09,50.844,0,1,1,6,0,Africa,5
125,7.956999999999999,31,61227.59,92.372,0,0,1,5,0,Africa,4
126,8.031,44,56366.88,50.828,0,1,0,4,0,Europe,5
127,8.905,45,57868.44,82.792,0,0,6,4,1,Others,1
128,7.041,27,66618.21,89.212,0,0,0,4,0,North America,3
129,6.736,37,73104.47,93.424,0,0,2,7,0,Others,0
130,4.698,50,21644.91,70.148,0,1,2,5,0,Europe,1
131,4.167,36,53817.02,53.02,0,1,0,6,0,Oceania,2
132,5.1240000000000006,36,76368.31,70.692,0,1,6,1,1,North America,1
133,7.57,29,67633.44,86.176,0,0,3,1,0,North America,5
134,4.349,47,50335.46,51.132,0,1,1,1,0,North America,5
135,4.989,39,17709.98,64.012,1,1,5,4,1,North America,5
136,3.837,36,41229.16,56.184000000000005,0,1,4,5,0,Others,4
137,3.852,38,42581.23,54.912,1,1,6,3,1,North America,0
138,7.189,23,61617.98,69.124,1,0,2,2,0,Asia,5
139,7.58,38,70575.6,58.476,1,0,0,4,0,Asia,2
140,8.386,31,64122.36,76.1,0,0,4,2,0,Europe,3
141,3.751,30,52097.32,65.2,1,1,0,3,0,Europe,3
142,5.5600000000000005,44,65953.76,49.752,1,1,1,6,0,Asia,2
143,8.367,44,60192.72,93.704,1,0,5,2,1,Oceania,1
144,6.908,41,77460.07,84.24,0,0,5,3,1,Others,4
145,3.747,44,45716.48,56.75599999999999,1,1,1,1,0,Europe,2
146,5.604,49,65120.86,51.58,1,1,6,2,1,Europe,1
147,7.0920000000000005,41,49995.63,43.264,1,1,3,5,0,Europe,1
148,4.978,46,71718.51,60.896,0,1,2,6,0,North America,5
149,6.861,57,61770.34,60.116,0,1,6,4,1,Africa,1
150,5.818,25,69112.84,70.512,1,0,2,2,0,Oceania,0
151,7.854000000000001,35,72524.86,68.84,0,0,5,5,1,Africa,4
152,3.7,48,36782.38,63.288,1,1,3,3,0,Africa,3
153,6.540000000000001,33,66699.12,98.924,0,0,4,2,0,Oceania,1
154,7.952,27,64287.78,73.392,1,0,4,6,0,Asia,4
155,8.798,38,56637.59,88.84400000000001,1,0,3,3,0,Asia,5
156,4.464,36,55787.58,50.804,0,1,6,2,1,North America,0
157,4.173,28,61142.33,80.872,1,1,3,1,0,North America,1
158,8.046,27,61625.87,83.184,1,0,3,2,0,North America,2
159,7.555,36,73234.87,63.696000000000005,0,1,0,5,0,Europe,0
160,7.632,35,74166.24,78.124,1,0,3,6,0,Asia,4
161,8.268,33,62669.59,89.108,1,0,0,6,0,Europe,5
162,7.2010000000000005,31,57756.89,100.4,0,0,0,2,0,Africa,4
163,7.583,24,58019.64,64.976,0,0,6,1,1,Oceania,1
164,4.128,50,50960.08,56.15599999999999,0,1,4,1,0,Africa,1
165,3.466,32,48246.6,77.932,0,1,3,7,0,Asia,1
166,6.618,55,28271.84,57.368,0,1,6,1,1,Oceania,1
167,8.606,31,53767.12,87.888,1,0,3,4,0,Asia,3
168,5.9590000000000005,42,43662.1,41.912,1,1,2,7,0,South America,3
169,8.669,34,62238.58,79.424,0,0,4,5,0,Africa,5
170,4.377000000000001,52,49030.03,55.42,1,1,0,1,0,Europe,1
171,7.184,47,76003.47,79.916,1,0,6,5,1,Africa,5
172,8.023,31,68094.85,78.49199999999999,0,0,5,3,1,Asia,1
173,7.441,26,64395.85,65.22,0,0,5,7,1,Asia,1
174,6.336,48,70053.27,54.972,0,1,3,6,0,Africa,4
175,7.174,35,72423.97,91.024,0,0,1,7,0,Asia,5
176,6.072,44,42995.8,42.276,0,1,6,2,1,Asia,3
177,7.204000000000001,22,60309.58,79.772,0,0,2,2,0,Africa,3
178,4.457,31,38349.78,53.268,1,1,6,3,1,Asia,3
179,8.586,34,63115.34,83.292,0,0,0,5,0,Oceania,1
180,3.985,38,31343.39,58.384,0,1,6,1,1,Asia,0
181,8.453,27,40763.13,67.336,0,1,0,1,0,North America,3
182,6.295,60,36752.24,62.816,0,1,1,5,0,South America,2
183,6.758,41,65044.59,102.244,1,0,0,2,0,Others,1
184,8.556000000000001,29,53673.08,84.184,0,0,6,6,1,Oceania,4
185,4.688000000000001,54,43444.86,54.65599999999999,0,1,3,2,0,Asia,5
186,4.631,57,44248.52,61.592,1,1,3,3,0,North America,3
187,7.795,31,62572.88,93.46,1,0,3,6,0,North America,5
188,8.473,30,39840.55,61.504,0,1,6,2,1,North America,3
189,3.986,36,32593.59,58.34,0,1,6,6,1,Africa,0
190,5.008,30,41629.86,49.564,0,1,6,1,1,Oceania,0
191,6.023,35,43313.73,42.744,0,1,1,3,0,Africa,3
192,6.07,49,42993.48,44.228,1,1,6,6,1,South America,1
193,4.367,53,46004.31,57.516,1,1,3,7,0,Oceania,5
194,7.720000000000001,33,49325.48,101.62,1,0,4,2,0,Asia,3
195,7.186,32,51633.34,46.612,0,1,1,5,0,Africa,5
196,4.478,45,63363.04,54.896,1,1,5,7,1,South America,3
197,7.856999999999999,36,64045.93,95.728,1,0,6,3,1,Africa,3
198,7.340999999999999,31,73049.3,80.50399999999999,1,0,5,1,1,North America,2
199,7.705,27,66624.6,76.45599999999999,0,0,3,1,0,Asia,5
200,6.640000000000001,40,77567.85,85.768,0,0,6,6,1,North America,2
201,6.935,29,53431.35,101.108,1,0,5,2,1,South America,5
202,3.565,40,31265.75,69.03200000000001,1,1,1,5,0,Asia,5
203,7.004,31,74780.74,73.53999999999999,1,0,6,3,1,Asia,4
204,6.978,29,70410.11,87.51599999999999,0,0,1,5,0,Asia,4
205,5.822,29,37345.24,48.36,0,1,3,2,0,Africa,4
206,7.69,28,66107.84,85.068,0,0,4,4,0,Europe,3
207,8.408,30,62336.39,74.944,1,0,2,1,0,Oceania,5
208,5.951,58,39132.64,56.33200000000001,0,1,3,6,0,Oceania,1
209,4.015,38,38745.29,53.952,1,1,0,6,0,Africa,5
210,7.681,28,65172.22,87.14,1,0,6,7,1,Oceania,2
211,4.189,38,68519.96,65.352,0,1,2,2,0,Europe,0
212,7.687,27,54774.77,94.14,1,0,6,5,1,Asia,3
213,6.728,43,76246.96,62.32000000000001,1,1,6,4,1,Asia,0
214,8.198,40,65461.92,91.688,0,0,4,4,0,Africa,3
215,6.601000000000001,23,34127.21,60.78,0,1,1,6,0,Oceania,3
216,6.157,53,35253.98,50.376,1,1,0,3,0,Europe,2
217,5.33,34,44893.71,44.776,0,1,4,5,0,Africa,5
218,3.487,40,59621.02,80.092,0,1,6,6,1,Europe,1
219,4.36,38,20856.54,68.196,0,1,0,1,0,South America,2
220,7.787999999999999,37,55353.41,101.828,0,0,5,7,1,Europe,4
221,7.583,27,67516.07,80.236,0,0,4,3,0,Europe,5
222,4.995,39,68737.75,54.636,0,1,3,3,0,Asia,5
223,6.093999999999999,41,76893.84,61.988,0,1,6,2,1,Europe,3
224,8.915000000000001,42,59886.58,68.428,0,0,0,4,0,Oceania,2
225,7.87,30,53441.69,53.596,0,1,2,2,0,Asia,0
226,5.735,29,41356.31,47.936,0,1,5,4,1,Asia,3
227,3.486,38,49942.66,61.9,0,1,5,6,1,Asia,3
228,7.0680000000000005,31,74430.08,79.632,0,0,6,7,1,South America,1
229,7.606,23,58633.63,80.416,0,0,2,4,0,Asia,1
230,6.667,33,72707.87,91.212,1,0,3,4,0,Asia,2
231,4.6770000000000005,32,31092.93,54.56,1,1,2,3,0,Europe,1
232,6.242,38,74445.18,57.576,0,1,1,7,0,North America,3
233,7.831999999999999,28,49309.14,95.808,0,1,6,6,1,Oceania,1
234,3.732,50,56735.14,79.7,1,1,2,3,0,Africa,1
235,4.042,45,40183.75,53.56,1,1,2,3,0,Europe,2
236,7.677,36,58348.41,49.404,0,1,2,5,0,Others,4
237,6.565,30,72209.99,63.220000000000006,0,0,5,7,1,Europe,3
238,7.431999999999999,33,62060.11,51.268,0,1,0,5,0,Africa,1
239,7.327,32,67113.46,93.9,1,0,4,1,0,Others,5
240,8.003,44,24030.06,60.336,0,1,5,7,1,Asia,2
241,5.368,47,56180.93,46.104,1,1,1,2,0,Oceania,0
242,8.584,32,62204.93,77.14,1,0,3,6,0,Oceania,1
243,8.503,30,60372.64,81.808,0,0,6,6,1,Asia,2
244,7.044,24,65280.16,71.5,1,0,0,6,0,Africa,1
245,8.122,53,34309.24,89.236,1,0,3,1,0,Europe,1
246,3.996,45,59610.81,58.452,1,1,4,4,0,Others,0
247,5.705,41,50278.89,107.984,1,1,5,1,1,Africa,5
248,4.244,56,43450.11,67.308,0,1,2,2,0,Asia,5
249,6.220000000000001,25,25408.21,64.464,0,1,6,4,1,Europe,2
250,7.67,36,71136.49,88.9,0,0,6,6,1,South America,1
251,6.122,45,63883.81,47.612,1,1,1,1,0,Europe,1
252,8.454,33,64902.47,81.608,1,0,2,3,0,Europe,5
253,4.608,30,66784.81,65.852,1,1,3,7,0,Europe,1
254,5.67,48,62784.85,49.252,0,1,5,1,1,Europe,4
255,8.103,28,63727.5,80.46000000000001,0,0,2,1,0,South America,5
256,8.091,32,61608.23,92.568,0,0,6,1,1,North America,5
257,4.006,38,56782.18,55.472,1,1,5,6,1,South America,0
258,8.347,39,64447.77,90.444,0,0,6,5,1,Asia,0
259,7.384,31,42042.95,48.42,0,1,5,6,1,Europe,3
260,7.465000000000001,28,67669.06,85.024,0,0,3,3,0,Oceania,5
261,6.025,35,54875.95,43.908,0,1,2,6,0,Oceania,3
262,5.921,35,73347.67,57.848,1,1,1,2,0,Europe,0
263,4.3020000000000005,44,50199.77,50.088,0,1,2,4,0,Asia,1
264,8.404,38,50723.67,97.82,0,0,2,7,0,Asia,4
265,7.066,43,63450.96,48.38,1,1,4,2,0,Africa,5
266,7.058,26,56694.12,54.776,0,1,4,2,0,Africa,4
267,7.244,34,70547.16,92.056,0,0,4,4,0,Oceania,3
268,4.017,26,47391.95,68.524,1,1,0,2,0,Asia,5
269,7.915000000000001,26,62312.23,81.292,0,0,2,1,0,Europe,4
270,4.449,53,63100.13,67.2,1,1,5,4,1,Africa,1
271,7.304,37,73687.5,88.716,1,0,6,6,1,Africa,3
272,7.628,33,52686.47,101.736,0,0,0,2,0,Others,1
273,6.888,37,78119.5,71.83200000000001,0,0,1,2,0,Europe,2
274,7.31,28,57014.84,96.948,0,0,0,1,0,Asia,4
275,4.766,29,27086.4,62.616,0,1,0,7,0,North America,0
276,8.73,35,58337.18,86.748,0,0,5,1,1,Europe,1
277,8.934000000000001,32,50216.01,71.112,1,0,0,3,0,South America,3
278,8.137,26,53049.44,62.592,1,0,0,2,0,Asia,0
279,8.167,28,62927.96,78.704,1,0,4,3,0,Africa,5
280,4.637,52,32847.53,57.708000000000006,0,1,1,1,0,Others,2
281,5.488,24,32006.82,59.444,0,1,6,5,1,North America,1
282,4.067,35,48913.07,53.272000000000006,0,1,3,5,0,Asia,4
283,7.176,35,69285.69,94.956,0,0,3,5,0,North America,3
284,4.751,51,53700.57,52.164,1,1,5,5,1,North America,2
285,7.515000000000001,22,52011.0,85.148,1,0,2,5,0,Europe,2
286,5.601,26,46339.25,50.904,0,1,1,7,0,Oceania,1
287,8.287,37,67938.77,85.34400000000001,0,0,1,6,0,Oceania,2
288,4.505,42,66348.95,56.544,0,1,3,5,0,Oceania,2
289,6.053,24,66873.9,66.888,0,1,4,3,0,Europe,3
290,5.0520000000000005,31,72270.88,68.648,0,1,5,1,1,Oceania,3
291,8.471,32,61610.05,84.092,0,0,6,5,1,Asia,3
292,5.5200000000000005,39,76560.59,63.784000000000006,1,1,0,5,0,North America,3
293,8.161,33,62667.51,91.504,0,0,6,4,1,Africa,5
294,7.154999999999999,36,75687.46,65.596,1,0,2,7,0,South America,1
295,8.24,36,66744.65,87.588,1,0,2,6,0,Europe,5
296,7.395,35,67714.82,95.432,0,0,6,4,1,Oceania,3
297,7.206999999999999,31,69710.51,90.58,0,0,5,4,1,South America,4
298,8.039,31,66269.49,85.896,0,0,1,5,0,Africa,1
299,6.58,25,60843.32,92.596,1,0,4,3,0,Africa,1
300,6.997,28,55041.6,100.0,0,0,6,5,1,Europe,3
301,5.262,50,73863.25,70.608,0,1,0,2,0,Africa,5
302,3.925,39,62378.05,60.944,0,1,5,1,1,Others,0
303,7.756,38,63336.85,52.33200000000001,1,1,3,5,0,Africa,1
304,3.3520000000000003,43,42191.61,66.224,0,1,0,5,0,Asia,1
305,7.981,24,56194.56,71.53999999999999,1,1,1,5,0,North America,3
306,8.479000000000001,33,61771.9,85.812,0,0,2,3,0,Africa,4
307,8.27,35,61383.79,92.428,0,0,5,1,1,Africa,3
308,8.488,32,63924.82,74.592,0,0,0,4,0,Asia,3
309,5.492,54,23975.35,64.464,0,1,0,6,0,North America,3
310,7.656000000000001,34,70179.11,88.612,1,0,5,4,1,North America,1
311,6.973999999999999,49,66524.8,97.348,0,0,6,3,1,Europe,0
312,7.555,22,41851.38,67.76,0,1,4,2,0,Asia,4
313,7.218999999999999,33,61275.18,100.14,1,0,3,5,0,North America,2
314,8.429,41,60638.38,93.016,0,0,2,1,0,Others,2
315,7.389,39,47160.53,44.272000000000006,0,1,2,4,0,Europe,2
316,7.584,21,48537.18,74.792,0,0,6,2,1,Europe,5
317,7.337999999999999,25,53058.91,94.476,1,0,3,4,0,Oceania,0
318,8.072,31,68614.98,74.548,0,0,1,4,0,North America,2
319,6.206,44,44174.25,42.0,0,1,1,4,0,Europe,3
320,5.15,34,67050.16,54.124,0,1,1,3,0,Africa,5
321,9.097,37,54520.14,72.308,0,0,1,2,0,Africa,1
322,8.678,30,54952.42,68.05199999999999,1,0,3,2,0,North America,3
323,6.618,35,69476.42,97.444,0,0,4,3,0,Oceania,4
324,8.433,41,54989.93,96.38,0,0,2,3,0,North America,4
325,3.687,36,29398.61,78.364,0,1,3,1,0,Others,4
326,3.478,48,42861.42,83.284,1,1,3,3,0,Africa,4
327,7.684,32,65883.39,92.636,0,0,3,3,0,Asia,0
328,6.705,25,65421.39,88.368,0,0,4,2,0,Europe,5
329,4.147,31,60953.93,87.916,0,1,2,7,0,Others,1
330,8.071,26,58476.57,80.232,0,0,4,6,0,Africa,2
331,8.009,31,66636.84,85.632,0,0,0,5,0,Europe,3
332,5.63,49,67430.96,54.096,1,1,2,2,0,Oceania,1
333,7.936,34,57260.41,98.312,1,0,3,4,0,Europe,0
334,8.638,40,66359.32,75.308,1,0,5,3,1,Asia,2
335,3.894,41,57587.0,57.068,1,1,4,7,0,Others,0
336,8.726,35,63060.55,73.612,0,0,3,5,0,Europe,3
337,7.531999999999999,28,59998.5,93.44,1,0,4,1,0,Africa,4
338,7.438,40,74024.61,88.02000000000001,1,0,6,3,1,Asia,1
339,6.590000000000001,22,60550.66,84.556,0,0,5,7,1,Europe,5
340,3.631,47,57983.3,67.568,0,1,0,4,0,Africa,2
341,7.223000000000001,48,52736.33,46.14,0,1,6,7,1,North America,4
342,8.812000000000001,38,46653.75,92.364,0,0,2,2,0,Europe,5
343,8.397,28,56986.73,82.2,1,0,3,6,0,North America,5
344,6.109,26,55336.18,52.672,1,1,5,4,1,Others,2
345,6.577,21,42162.9,87.444,1,0,4,3,0,Africa,3
346,8.158,25,39699.13,79.756,0,0,2,5,0,Asia,2
347,3.787,52,56394.82,75.424,1,1,2,5,0,Africa,3
348,7.62,37,75044.35,71.404,0,0,0,2,0,North America,3
349,6.090999999999999,19,53309.61,73.976,0,1,3,6,0,Oceania,4
350,7.449,28,58996.12,94.936,0,0,5,1,1,South America,4
351,7.370999999999999,23,56605.12,84.55199999999999,1,0,0,2,0,North America,1
352,7.819,30,62475.99,91.524,0,0,6,1,1,Africa,4
353,7.954000000000001,44,70492.6,87.072,1,0,1,1,0,Asia,4
354,7.487,52,43698.53,50.788,0,1,1,5,0,Oceania,4
355,8.709,36,57737.51,88.792,1,0,3,4,0,Others,1
356,3.745,47,31281.01,67.144,0,1,6,4,1,North America,2
357,4.984,39,45800.48,44.636,0,1,1,2,0,Oceania,1
358,5.138,59,42362.49,63.424,0,1,4,6,0,Asia,0
359,8.34,34,66691.23,83.148,0,0,6,5,1,Asia,1
360,3.891,33,56369.74,60.32000000000001,1,1,2,7,0,Asia,5
361,6.214,41,59397.89,44.372,1,1,5,1,1,Africa,1
362,7.971999999999999,28,66025.11,77.52000000000001,1,0,4,5,0,Europe,2
363,7.33,36,68211.35,54.288,1,1,5,1,1,Europe,2
364,6.911,42,73608.99,92.592,1,0,3,4,0,Others,5
365,7.19,54,61228.96,56.06,1,1,4,4,0,Europe,2
366,7.245,29,72325.91,78.144,1,0,0,1,0,Oceania,2
367,7.706999999999999,40,44559.43,104.408,0,0,1,3,0,Asia,5
368,7.462000000000001,36,73207.15,87.116,0,0,0,4,0,Africa,4
369,8.206999999999999,25,46722.07,82.152,1,0,0,6,0,North America,0
370,5.86,50,45400.5,45.48,0,1,3,1,0,Oceania,3
371,3.608,45,41417.27,60.588,1,1,6,7,1,North America,4
372,7.944,26,60845.55,82.716,0,0,6,5,1,Europe,4
373,4.173,47,60812.77,57.884,0,1,4,4,0,Africa,4
374,7.319,25,64267.88,81.49600000000001,1,0,1,1,0,Asia,0
375,7.76,24,58151.87,78.932,1,0,3,5,0,Others,5
376,8.9,37,52079.18,88.904,1,0,1,1,0,Europe,0
377,6.92,42,26023.99,49.52,0,1,4,6,0,South America,1
378,6.756,31,62318.38,50.18,0,1,0,4,0,Africa,2
379,8.111,39,56216.57,99.276,1,0,2,7,0,Africa,5
380,8.022,30,61806.31,89.83200000000001,0,0,1,7,0,Asia,4
381,4.363,41,51662.24,49.3,1,1,1,3,0,Europe,2
382,7.766,29,67080.94,67.26,0,0,6,6,1,Africa,0
383,7.462999999999999,26,51975.41,94.396,1,0,1,7,0,North America,4
384,4.9670000000000005,27,28019.09,61.476,0,1,0,5,0,Africa,5
385,8.059000000000001,37,67744.56,89.692,0,0,3,7,0,Europe,3
386,8.349,33,66574.0,76.3,1,0,4,6,0,Asia,1
387,4.446,42,30487.48,53.064,1,1,4,1,0,Asia,2
388,6.81,40,74903.41,91.092,1,0,4,2,0,North America,0
389,6.388,38,19991.72,54.74,0,1,0,2,0,Africa,4
390,7.883,36,66050.63,93.856,1,0,6,5,1,Asia,0
391,7.997,44,70449.04,86.4,0,0,2,7,0,Asia,0
392,8.051,28,64008.55,80.112,1,0,4,1,0,Asia,1
393,6.226,26,70203.74,81.108,0,0,2,6,0,Others,5
394,6.699,47,27262.51,49.776,1,1,2,6,0,Africa,0
395,7.105,20,49544.41,81.688,1,0,0,6,0,Africa,4
396,4.205,51,28357.27,69.82000000000001,1,1,0,6,0,North America,1
397,5.0520000000000005,28,66929.03,87.876,0,1,6,4,1,North America,4
398,7.624,40,75524.78,79.328,1,0,1,5,0,Africa,5
399,7.729000000000001,27,66265.34,80.49600000000001,1,0,0,2,0,Oceania,4
400,3.598,47,55993.68,66.208,1,1,3,3,0,North America,4
401,8.495000000000001,34,56379.3,92.144,0,0,4,2,0,Africa,3
402,3.934,43,31215.88,59.572,0,1,6,4,1,Asia,0
